HASH,FILE,DONE,AUTHOR,CREATE,MODIFY,TYPE
219e56db9fb4ce3c3b64db21eb4d4831f26038e1,src/core/src/main/java/org/locationtech/geogig/api/Bounded.java,x,Gabriel Roldan (Boundless),2013,2013,java
219e56db9fb4ce3c3b64db21eb4d4831f26038e1,src/core/src/main/java/org/locationtech/geogig/api/Bucket.java,x,Gabriel Roldan (Boundless),2013,2013,java
c4e45f56e3095a92cb305834a06c08651a4b0ffb,src/core/src/main/java/org/locationtech/geogig/api/CommitBuilder.java,x,Gabriel Roldan (Boundless),2012,2014,java
ec66fea1f81c24c898eccef28b59da43f1b55104,src/core/src/main/java/org/locationtech/geogig/api/Context.java,x,Gabriel Roldan (Boundless),2014,2014,java
ec66fea1f81c24c898eccef28b59da43f1b55104,src/core/src/main/java/org/locationtech/geogig/api/ContextBuilder.java,x,Gabriel Roldan (Boundless),2014,2014,java
75284ffb8bb5efcb06b74aa80393c2d1ab807139,src/core/src/main/java/org/locationtech/geogig/api/DefaultPlatform.java,x,Gabriel Roldan (Boundless),2012,2014,java
b4cf9011ff06cf94b1fb2531ca3f8feb0d2efdf8,src/core/src/main/java/org/locationtech/geogig/api/DefaultProgressListener.java,x,Victor Olaya (Boundless),2014,2014,java
c4e45f56e3095a92cb305834a06c08651a4b0ffb,src/core/src/main/java/org/locationtech/geogig/api/FeatureBuilder.java,x,Gabriel Roldan (Boundless),2012,2014,java
f5e6f04053d5730464e84a7afd9e65c4f534abe1,src/core/src/main/java/org/locationtech/geogig/api/FeatureInfo.java,x,Victor Olaya (Boundless),2013,2013,java
3be2a915d1e9fca7304b1d065ed69f9ea27c2d9f,src/core/src/main/java/org/locationtech/geogig/api/GeoGIG.java,x,Gabriel Roldan (Boundless),2012,2014,java
219e56db9fb4ce3c3b64db21eb4d4831f26038e1,src/core/src/main/java/org/locationtech/geogig/api/GeogigSimpleFeature.java,x,Gabriel Roldan (Boundless),2013,2013,java
111ca16244d859b439a19ff1c6f5e0bd32c143e7,src/core/src/main/java/org/locationtech/geogig/api/GeogigTransaction.java,x,Johnathan Garrett (LMN Solutions),2013,2014,java
ec66fea1f81c24c898eccef28b59da43f1b55104,src/core/src/main/java/org/locationtech/geogig/api/GlobalContextBuilder.java,x,Gabriel Roldan (Boundless),2014,2014,java
d757525a25c75ae1f980ecaacb61052ebcb935c8,src/core/src/main/java/org/locationtech/geogig/api/IniRepositoryFilter.java,x,Johnathan Garrett (LMN Solutions),2013,2014,java
b639e1f493262c5a54f7fdec420aeb4056a77e32,src/core/src/main/java/org/locationtech/geogig/api/Node.java,x,Victor Olaya (Boundless),2012,2014,java
ddfbd730986210318cfc97aa7d6ad154d7110aeb,src/core/src/main/java/org/locationtech/geogig/api/NodeRef.java,x,Gabriel Roldan (Boundless),2012,2013,java
3be2a915d1e9fca7304b1d065ed69f9ea27c2d9f,src/core/src/main/java/org/locationtech/geogig/api/ObjectId.java,x,Gabriel Roldan (Boundless),2012,2014,java
75284ffb8bb5efcb06b74aa80393c2d1ab807139,src/core/src/main/java/org/locationtech/geogig/api/Platform.java,x,Gabriel Roldan (Boundless),2012,2014,java
b4cf9011ff06cf94b1fb2531ca3f8feb0d2efdf8,src/core/src/main/java/org/locationtech/geogig/api/ProgressListener.java,x,Victor Olaya (Boundless),2014,2014,java
3be2a915d1e9fca7304b1d065ed69f9ea27c2d9f,src/core/src/main/java/org/locationtech/geogig/api/Ref.java,x,Gabriel Roldan (Boundless),2012,2014,java
f7a881780b5a044b216f0eeee9374784ef0ebd7a,src/core/src/main/java/org/locationtech/geogig/api/Remote.java,x,Johnathan Garrett (LMN Solutions),2012,2014,java
d757525a25c75ae1f980ecaacb61052ebcb935c8,src/core/src/main/java/org/locationtech/geogig/api/RepositoryFilter.java,x,Johnathan Garrett (LMN Solutions),2013,2013,java
3be2a915d1e9fca7304b1d065ed69f9ea27c2d9f,src/core/src/main/java/org/locationtech/geogig/api/RevCommit.java,x,Gabriel Roldan (Boundless),2012,2014,java
a8e572223edd0eb229c499036034cf5b61d66df9,src/core/src/main/java/org/locationtech/geogig/api/RevCommitImpl.java,x,Gabriel Roldan (Boundless),2014,2014,java
1f0db67ea912ffeb63ecd48e25f11aa2cd3017a6,src/core/src/main/java/org/locationtech/geogig/api/RevFeature.java,x,Gabriel Roldan (Boundless),2012,2014,java
c4e45f56e3095a92cb305834a06c08651a4b0ffb,src/core/src/main/java/org/locationtech/geogig/api/RevFeatureBuilder.java,x,Gabriel Roldan (Boundless),2012,2014,java
a8e572223edd0eb229c499036034cf5b61d66df9,src/core/src/main/java/org/locationtech/geogig/api/RevFeatureImpl.java,x,Gabriel Roldan (Boundless),2014,2014,java
